text,pred,pred_text
"В ноябре 2022 списали 5000 руб за несоблюдение условий по пакету Привилегия , который был подключен без моего ведома и , соответственно , согласия , 13.10.2022 года . На мое требование вернуть деньги отказали . Виновных в подключении данной услуги не нашли и не наказали , соответственно . Самый гадкий банк !","[([50], [49], 'NEG')]","[('банк', 'гадкий', 'NEG')]"
"Обещали 2000 при тратах более 5000 в первый месяц . Полтора месяца ждал . Никакой выплаты . Приняли обращение , срок рассмотрения 30 дней издеваются . В чате ждал ответа по 7 часов . Сразу после короткой отписки оператор о включается и на следующий вопрос нужно опять ждать оператора . Месяц не могли наладить оплату с карты в интернет магазинах .",[],[]
"Прошла сделка 18.01.23 в офисе ЦИК на кутузовском . К менеджеру претензий нет , очень ответственно и оперативно все решала . Ирине спасибо , но регистрация прошла 20.01 . А выгрузка с рр не происходит до сих пор . Следовательно не переводят деньги . Все на нервах . решите вопрос ! Это ни в какие рамки . Терпение заканчивается .",[],[]
"Нашли старую сберкнижку с положительным балансом и захотели снять с нее деньги . Общался в онлайн чате с сотрудником , по данному вопросу , и был направлен в отделение для написания заявления на поиск вклада . В день обращения в банк в данной возможности было отказано . Спасибо за потраченное время и вклад .",[],[]
"Самый идиотский банк !!! Не берите у них карты Я погасил весь кредит хотел закрыть карту . банк не давал это сделать потом у меня списали комиссию !!! ! И я опять не могу закрыть карту !!! Вуаля я создал обращение , сказали вернут комиссию и закроют карту , но не тут то было ! Опять взяли и списали , и щас Говорят пополните и закройте карту . !!! Самый ужасный банк !!! !",[],[]
"Добрый день ! Сегодня заглянула в Россельхозбанк в с . Турунтаево , интересовал вопрос про дальневосточную ипотеку . Консультиррвала Кристина , хочу отметить е профессиональные качества . Очень граммотный специалист , наглядно всё в графиках рассказала и показала , всё моменты по условиям погашения . Страхование . Очень доходчиво объяснила . Спасибо !","[([29], [28], 'POS'), ([25], [24], 'POS')]","[('специалист', 'граммотный', 'POS'), ('качества', 'профессиональные', 'POS')]"
"Добрый день ! Впервые с таким столкнулся заблокировали всю сумму на счете и не отдают , ссылаясь на проверку . Обещали что проверка будет длиться неделю , но потом каждую неделю с ноября приходит смс что проверка продляется , обращения в чат не помогают . Актуальный срок прроверки 21.01 . Безвыходность .",[],[]
"Всем привет . Это ужас какой то ! Почему так ? Кредит оформила онлайн 5го декабря . В договоре написано , что по возврату страховой премии можно обратиться в страховую компанию или в офис ОТП Банка . Но , в офисе , мне сказали , что я не права и чтобы вернуть страховку мне надо ехать в Москву . Заявление написать не дали .",[],[]
"Доброго времени суток . Я выводил деньги с альфа - инвестиций , и почему то перевод несколько дней не приходил ко мне на карту Альфа - Банка . Я обратился в поддержку , разъяснил им всю ситуацию , и деньги прислали мне спустя 20 дней . Очень сильно благодарен поддержке , что поняли меня , и мою ситуацию , определенно 5 звезд поддержке и банку .","[([49], [48], 'POS')]","[('поддержке', 'благодарен', 'POS')]"
"Оформила дебетовую карту от Альфа банка 7 декабря , все условия с моей стороны были выполнены . Со стороны банка , условия не выполнены , одни отписки и танцы с бубнами ! Типа , мы вам начислим ... только в следующим месяце аж 15 января . Только ничего не выполнили ! Обходите стороной , очередной ОБМАН И ВРАНЬЁ !",[],[]
